match_id,date,team,opponent,tournament,tournament_category,home_or_away,neutral,goals_for,goals_against,is_world_cup,world_cup_year,year,goal_difference,result,win,draw,loss,points,dominant_win
41609,2018-06-15,Portugal,Spain,FIFA World Cup,World Cup (final tournament),home,True,3,3,True,2018,2018,0,draw,False,True,False,1,False
41609,2018-06-15,Spain,Portugal,FIFA World Cup,World Cup (final tournament),away,True,3,3,True,2018,2018,0,draw,False,True,False,1,False
41610,2018-06-16,Australia,France,FIFA World Cup,World Cup (final tournament),away,True,1,2,True,2018,2018,-1,loss,False,False,True,0,False
41610,2018-06-16,France,Australia,FIFA World Cup,World Cup (final tournament),home,True,2,1,True,2018,2018,1,win,True,False,False,3,False
41611,2018-06-16,Argentina,Iceland,FIFA World Cup,World Cup (final tournament),home,True,1,1,True,2018,2018,0,draw,False,True,False,1,False
41611,2018-06-16,Iceland,Argentina,FIFA World Cup,World Cup (final tournament),away,True,1,1,True,2018,2018,0,draw,False,True,False,1,False
41612,2018-06-16,Denmark,Peru,FIFA World Cup,World Cup (final tournament),away,True,1,0,True,2018,2018,1,win,True,False,False,3,False
41612,2018-06-16,Peru,Denmark,FIFA World Cup,World Cup (final tournament),home,True,0,1,True,2018,2018,-1,loss,False,False,True,0,False
41613,2018-06-16,Croatia,Nigeria,FIFA World Cup,World Cup (final tournament),home,True,2,0,True,2018,2018,2,win,True,False,False,3,False
41613,2018-06-16,Nigeria,Croatia,FIFA World Cup,World Cup (final tournament),away,True,0,2,True,2018,2018,-2,loss,False,False,True,0,False
41614,2018-06-17,Costa Rica,Serbia,FIFA World Cup,World Cup (final tournament),home,True,0,1,True,2018,2018,-1,loss,False,False,True,0,False
41614,2018-06-17,Serbia,Costa Rica,FIFA World Cup,World Cup (final tournament),away,True,1,0,True,2018,2018,1,win,True,False,False,3,False
41615,2018-06-17,Germany,Mexico,FIFA World Cup,World Cup (final tournament),home,True,0,1,True,2018,2018,-1,loss,False,False,True,0,False
41615,2018-06-17,Mexico,Germany,FIFA World Cup,World Cup (final tournament),away,True,1,0,True,2018,2018,1,win,True,False,False,3,False
41616,2018-06-17,Brazil,Switzerland,FIFA World Cup,World Cup (final tournament),home,True,1,1,True,2018,2018,0,draw,False,True,False,1,False
41616,2018-06-17,Switzerland,Brazil,FIFA World Cup,World Cup (final tournament),away,True,1,1,True,2018,2018,0,draw,False,True,False,1,False
41617,2018-06-18,England,Tunisia,FIFA World Cup,World Cup (final tournament),away,True,2,1,True,2018,2018,1,win,True,False,False,3,False
41617,2018-06-18,Tunisia,England,FIFA World Cup,World Cup (final tournament),home,True,1,2,True,2018,2018,-1,loss,False,False,True,0,False
