scorer_rank,scorer,team,goals,penalties,own_goals,first_goal_date,latest_goal_date,scorer_label
12401,Walter Samuel,Peru,1,0,1,2000-09-03,2000-09-03,12401. Walter Samuel
12402,Emiliano González Arqués,Andorra,1,0,0,2000-09-02,2000-09-02,12402. Emiliano González Arqués
12403,Gabriel González,Paraguay,1,0,0,2000-09-02,2000-09-02,12403. Gabriel González
12404,Jeffrey Talan,Netherlands,1,0,0,2000-09-02,2000-09-02,12404. Jeffrey Talan
12405,Morten Bisgaard,Denmark,1,0,0,2000-09-02,2000-09-02,12405. Morten Bisgaard
12406,Jorge Bengoché,Honduras,1,0,0,2000-08-16,2000-08-16,12406. Jorge Bengoché
12407,Jorge Dely Valdés,Trinidad and Tobago,1,0,1,2000-08-16,2000-08-16,12407. Jorge Dely Valdés
12408,Paul Fenwick,Mexico,1,0,1,2000-08-15,2000-08-15,12408. Paul Fenwick
12409,MaNicolás Oliveratias Almeyda,Argentina,1,0,0,2000-07-26,2000-07-26,12409. MaNicolás Oliveratias Almeyda
12410,Héctor Tapia,Chile,1,0,0,2000-07-25,2000-07-25,12410. Héctor Tapia
12411,Jamal Ballantyne,Saint Vincent and the Grenadines,1,0,0,2000-07-23,2000-07-23,12411. Jamal Ballantyne
12412,Alejandro Madrigal,Costa Rica,1,0,0,2000-07-16,2000-07-16,12412. Alejandro Madrigal
12413,Michael Forde,Barbados,1,0,0,2000-07-16,2000-07-16,12413. Michael Forde
12414,Ishmael Addo,Ghana,1,0,0,2000-07-09,2000-07-09,12414. Ishmael Addo
12415,Patrice Abanda,Cameroon,1,0,0,2000-07-09,2000-07-09,12415. Patrice Abanda
12416,Yaw Preko,Ghana,1,0,0,2000-07-09,2000-07-09,12416. Yaw Preko
12417,Denis Caniza,Chile,1,0,1,2000-06-29,2000-06-29,12417. Denis Caniza
12418,Miguel Mea Vitali,Venezuela,1,0,0,2000-06-28,2000-06-28,12418. Miguel Mea Vitali
12419,Dejan Govedarica,Netherlands,1,0,1,2000-06-25,2000-06-25,12419. Dejan Govedarica
12420,Gideon Omokirio,Australia,1,0,1,2000-06-23,2000-06-23,12420. Gideon Omokirio
12421,Pablo Cardozo,Australia,1,0,0,2000-06-23,2000-06-23,12421. Pablo Cardozo
12422,Georgina Tura,Vanuatu,1,0,0,2000-06-22,2000-06-22,12422. Georgina Tura
12423,Daniel Shepherd,Cook Islands,1,0,0,2000-06-21,2000-06-21,12423. Daniel Shepherd
12424,Dejan Govedarica,Serbia,1,0,0,2000-06-21,2000-06-21,12424. Dejan Govedarica
12425,Henry Koto,Solomon Islands,1,0,0,2000-06-21,2000-06-21,12425. Henry Koto
12426,Pedro Munitis,Spain,1,0,0,2000-06-21,2000-06-21,12426. Pedro Munitis
12427,Danny Tiatto,Australia,1,0,0,2000-06-19,2000-06-19,12427. Danny Tiatto
12428,Kris Bouckenooghe,New Zealand,1,0,0,2000-06-19,2000-06-19,12428. Kris Bouckenooghe
12429,Andrew Sinkala,Zambia,1,0,0,2000-06-18,2000-06-18,12429. Andrew Sinkala
12430,Desmond Bleau,Antigua and Barbuda,1,0,0,2000-06-18,2000-06-18,12430. Desmond Bleau
12431,Edgar Valencia,Guatemala,1,0,0,2000-06-18,2000-06-18,12431. Edgar Valencia
12432,Costinha,Portugal,1,0,0,2000-06-17,2000-06-17,12432. Costinha
12433,Nathalie Suiverstin,Madagascar,1,0,0,2000-06-17,2000-06-17,12433. Nathalie Suiverstin
12434,Pape Seydou Diop,Senegal,1,0,0,2000-06-16,2000-06-16,12434. Pape Seydou Diop
12435,Stefano Fiore,Italy,1,0,0,2000-06-14,2000-06-14,12435. Stefano Fiore
12436,Alexander Viveros,Colombia,1,0,0,2000-06-04,2000-06-04,12436. Alexander Viveros
12437,Gustavo Adrián López,Argentina,1,0,0,2000-06-04,2000-06-04,12437. Gustavo Adrián López
12438,Delio Toledo,Paraguay,1,0,0,2000-06-03,2000-06-03,12438. Delio Toledo
12439,Francisco Antonio Pavón,Honduras,1,0,0,2000-06-03,2000-06-03,12439. Francisco Antonio Pavón
12440,Alexander Cruzata,Barbados,1,0,1,2000-05-21,2000-05-21,12440. Alexander Cruzata
12441,Neftali Díaz,Panama,1,0,0,2000-05-21,2000-05-21,12441. Neftali Díaz
12442,Vincent John,Saint Vincent and the Grenadines,1,0,0,2000-05-21,2000-05-21,12442. Vincent John
12443,Dieuphane Thelamour,Haiti,1,0,0,2000-05-19,2000-05-19,12443. Dieuphane Thelamour
12444,Phillip Skeal,Saint Vincent and the Grenadines,1,0,1,2000-05-07,2000-05-07,12444. Phillip Skeal
12445,Juan Jayo,Peru,1,0,0,2000-04-26,2000-04-26,12445. Juan Jayo
12446,Vidas Dančenka,Lithuania,1,0,0,2000-04-26,2000-04-26,12446. Vidas Dančenka
12447,Ēriks Pelcis,Latvia,1,0,0,2000-04-26,2000-04-26,12447. Ēriks Pelcis
12448,Ally Abubakari,Tanzania,1,0,0,2000-04-23,2000-04-23,12448. Ally Abubakari
12449,Bedel Moyimbouabeka,Congo,1,0,0,2000-04-23,2000-04-23,12449. Bedel Moyimbouabeka
12450,Casiano Mba,Equatorial Guinea,1,0,0,2000-04-23,2000-04-23,12450. Casiano Mba
12451,Cheikh Ba,Senegal,1,0,0,2000-04-23,2000-04-23,12451. Cheikh Ba
12452,Daniel Addo,Ghana,1,0,0,2000-04-23,2000-04-23,12452. Daniel Addo
12453,Faisal Bushaala,Libya,1,0,0,2000-04-23,2000-04-23,12453. Faisal Bushaala
12454,Hared Robleh,Djibouti,1,0,0,2000-04-23,2000-04-23,12454. Hared Robleh
12455,Hélder Vicente,Angola,1,0,0,2000-04-23,2000-04-23,12455. Hélder Vicente
12456,Jacques-Désiré Périatambée,Mauritius,1,0,0,2000-04-23,2000-04-23,12456. Jacques-Désiré Périatambée
12457,Jean-Sebastien Bax,Mauritius,1,0,0,2000-04-23,2000-04-23,12457. Jean-Sebastien Bax
12458,John Lungu,Tanzania,1,0,0,2000-04-23,2000-04-23,12458. John Lungu
12459,Luciano Djim,Central African Republic,1,0,0,2000-04-23,2000-04-23,12459. Luciano Djim
12460,Luke Jukulile,Zimbabwe,1,0,0,2000-04-23,2000-04-23,12460. Luke Jukulile
12461,Lwata Mpia,DR Congo,1,0,0,2000-04-23,2000-04-23,12461. Lwata Mpia
12462,Michél Mazingu-Dinzey,DR Congo,1,0,0,2000-04-23,2000-04-23,12462. Michél Mazingu-Dinzey
12463,Nqobizitha Ncube,Zimbabwe,1,0,0,2000-04-23,2000-04-23,12463. Nqobizitha Ncube
12464,Salam Kouko,Togo,1,0,0,2000-04-23,2000-04-23,12464. Salam Kouko
12465,Togbe Dovi-Akon,Togo,1,0,0,2000-04-23,2000-04-23,12465. Togbe Dovi-Akon
12466,Ulrich Lepaye,Congo,1,0,0,2000-04-23,2000-04-23,12466. Ulrich Lepaye
12467,Victor Covilhã,Angola,1,0,0,2000-04-23,2000-04-23,12467. Victor Covilhã
12468,Walid Salah Abdel Latif,Egypt,1,0,0,2000-04-23,2000-04-23,12468. Walid Salah Abdel Latif
12469,Yaya Dissa,Mali,1,0,0,2000-04-23,2000-04-23,12469. Yaya Dissa
12470,Bilal Sidibé,Tunisia,1,0,1,2000-04-22,2000-04-22,12470. Bilal Sidibé
12471,Bent Burgess,Belize,1,0,0,2000-04-16,2000-04-16,12471. Bent Burgess
12472,Elmer Martínez,El Salvador,1,0,0,2000-04-16,2000-04-16,12472. Elmer Martínez
12473,Luis Alfredo Ramírez,Honduras,1,0,0,2000-04-16,2000-04-16,12473. Luis Alfredo Ramírez
12474,Anteneh Alameraw,Ethiopia,1,0,0,2000-04-09,2000-04-09,12474. Anteneh Alameraw
12475,Bouchaib El Moubarki,Morocco,1,0,0,2000-04-09,2000-04-09,12475. Bouchaib El Moubarki
12476,Faroug Jabra,Sudan,1,0,0,2000-04-09,2000-04-09,12476. Faroug Jabra
12477,Felipe Cata Edson,Angola,1,0,0,2000-04-09,2000-04-09,12477. Felipe Cata Edson
12478,George Ngoma Nanitelamio,Congo,1,0,0,2000-04-09,2000-04-09,12478. George Ngoma Nanitelamio
12479,Ghislain Akassou,Ivory Coast,1,0,0,2000-04-09,2000-04-09,12479. Ghislain Akassou
12480,Hassan Mili,Rwanda,1,0,0,2000-04-09,2000-04-09,12480. Hassan Mili
12481,Jabu Pule,South Africa,1,0,0,2000-04-09,2000-04-09,12481. Jabu Pule
12482,Jean-Silvestre N'Keoua,Congo,1,0,0,2000-04-09,2000-04-09,12482. Jean-Silvestre N'Keoua
12483,Jonas Okétola,Benin,1,0,0,2000-04-09,2000-04-09,12483. Jonas Okétola
12484,Julien Nsengiyumva,Rwanda,1,0,0,2000-04-09,2000-04-09,12484. Julien Nsengiyumva
12485,Khaled Mhemed,Libya,1,0,0,2000-04-09,2000-04-09,12485. Khaled Mhemed
12486,Modeste Eta,Congo,1,0,0,2000-04-09,2000-04-09,12486. Modeste Eta
12487,Mohamed Emara,Egypt,1,0,0,2000-04-09,2000-04-09,12487. Mohamed Emara
12488,Remo Eyoma,Equatorial Guinea,1,0,0,2000-04-09,2000-04-09,12488. Remo Eyoma
12489,Sentayehu Getachew,Ethiopia,1,0,0,2000-04-09,2000-04-09,12489. Sentayehu Getachew
12490,Abubaker Tabula,Uganda,1,0,0,2000-04-08,2000-04-08,12490. Abubaker Tabula
12491,Amilcar Ramos,São Tomé and Príncipe,1,0,0,2000-04-08,2000-04-08,12491. Amilcar Ramos
12492,Celso Pontes,São Tomé and Príncipe,1,0,0,2000-04-08,2000-04-08,12492. Celso Pontes
12493,Dereck Somanje,Malawi,1,0,0,2000-04-08,2000-04-08,12493. Dereck Somanje
12494,Jamil Kyambadde,Uganda,1,0,0,2000-04-08,2000-04-08,12494. Jamil Kyambadde
12495,Jones Nkhwazi,Malawi,1,0,0,2000-04-08,2000-04-08,12495. Jones Nkhwazi
12496,Majid Musisi,Uganda,1,0,0,2000-04-08,2000-04-08,12496. Majid Musisi
12497,Pablo Thiam,Guinea,1,0,0,2000-04-08,2000-04-08,12497. Pablo Thiam
12498,Mahad Khaireh,Djibouti,1,0,0,2000-04-07,2000-04-07,12498. Mahad Khaireh
12499,Salem Ould Ely,Mauritania,1,0,0,2000-04-07,2000-04-07,12499. Salem Ould Ely
12500,Osmin Hernández,Cuba,1,0,0,2000-04-02,2000-04-02,12500. Osmin Hernández
12501,Wandel Gross,Aruba,1,0,0,2000-04-01,2000-04-01,12501. Wandel Gross
12502,Rodrigo Tello,Chile,1,0,0,2000-03-29,2000-03-29,12502. Rodrigo Tello
12503,Alberto Doesburg,Suriname,1,0,0,2000-03-19,2000-03-19,12503. Alberto Doesburg
12504,Devarr Boyles,Bermuda,1,0,0,2000-03-19,2000-03-19,12504. Devarr Boyles
12505,Emory Núñez,Belize,1,0,0,2000-03-19,2000-03-19,12505. Emory Núñez
