elo_rank,elo_label,team,elo_rating,matches_played,wins,draws,losses,goals_for,goals_against,goal_difference,last_match_date
302,302. Antigua and Barbuda,Antigua and Barbuda,1190.7,231,71,43,117,306,423,-117,2025-11-18
303,303. Andorra,Andorra,1188.4,226,13,31,182,73,539,-466,2026-03-31
304,304. Bangladesh,Bangladesh,1183.1,304,79,66,159,274,555,-281,2026-03-26
305,305. Barbados,Barbados,1170.0,302,94,67,141,393,527,-134,2026-03-29
306,306. Nepal,Nepal,1167.1,268,63,47,158,229,602,-373,2025-11-18
307,307. Taiwan,Taiwan,1161.5,237,64,30,143,306,605,-299,2025-11-18
308,308. Cayman Islands,Cayman Islands,1155.5,118,25,21,72,116,286,-170,2026-03-29
309,309. Tonga,Tonga,1151.8,68,16,6,46,81,253,-172,2024-09-09
310,310. Turks and Caicos Islands,Turks and Caicos Islands,1138.8,52,12,6,34,52,187,-135,2025-08-16
311,311. Alderney,Alderney,1119.9,135,5,2,128,73,620,-547,2022-04-23
312,312. Cambodia,Cambodia,1112.9,293,63,41,189,324,760,-436,2025-11-13
313,313. Djibouti,Djibouti,1099.5,111,7,10,94,74,401,-327,2025-11-26
314,314. Maldives,Maldives,1098.1,231,63,38,130,277,522,-245,2025-11-18
315,315. Liechtenstein,Liechtenstein,1094.4,257,19,32,206,105,722,-617,2026-03-29
316,316. British Virgin Islands,British Virgin Islands,1090.9,121,21,22,78,112,358,-246,2026-03-29
317,317. Somalia,Somalia,1086.7,124,11,15,98,62,330,-268,2025-11-26
318,318. Sri Lanka,Sri Lanka,1081.6,248,49,47,152,237,566,-329,2025-11-18
319,319. Northern Mariana Islands,Northern Mariana Islands,1079.1,30,4,3,23,27,129,-102,2024-04-07
