team,matches_played,wins,draws,losses,goals_scored,goals_conceded,total_goal_differential,points,dominant_wins,win_rate,draw_rate,loss_rate,avg_goal_diff,goals_scored_per_match,goals_conceded_per_match,points_per_match,dominant_win_rate,consistency_score,n_win_rate,n_avg_goal_diff,n_points_per_match,n_dominant_win_rate,n_consistency,dominance_index
Colombia,636,256,176,204,818,735,83,944,55,0.4025157232704403,0.27672955974842767,0.32075471698113206,0.13050314465408805,1.2861635220125787,1.1556603773584906,1.4842767295597483,0.08647798742138364,0.6336586169084718,0.5622389023819868,0.6462984388920743,0.6242122121731898,0.3276377665511236,0.6336586169084718,60.11758465629071
Trinidad and Tobago,751,321,164,266,1268,999,269,1127,108,0.4274300932090546,0.21837549933422104,0.35419440745672437,0.3581890812250333,1.688415446071904,1.3302263648468708,1.5006657789613849,0.14380825565912117,0.0,0.6093811830392112,0.7169367255362377,0.6341188676805581,0.5829367390370502,0.0,59.806919594445375
Kuwait,683,285,178,220,1065,768,297,1033,80,0.4172767203513909,0.26061493411420206,0.32210834553440704,0.43484626647144947,1.5592972181551976,1.1244509516837482,1.5124450951683748,0.1171303074670571,0.0,0.5901692521714925,0.7407191879330043,0.6412390870975158,0.46413644434414125,0.0,59.371484848055346
Haiti,508,215,110,183,833,684,149,755,75,0.42322834645669294,0.21653543307086615,0.36023622047244097,0.2933070866141732,1.639763779527559,1.3464566929133859,1.486220472440945,0.14763779527559054,0.0,0.6014307542248982,0.6968074500860654,0.625387142496909,0.5999901657735962,0.0,58.880561364975456
New Zealand,414,172,73,169,729,619,110,589,69,0.41545893719806765,0.17632850241545894,0.4082125603864734,0.26570048309178745,1.7608695652173914,1.4951690821256038,1.422705314009662,0.16666666666666666,0.0,0.586729693242285,0.6882426559566817,0.5869942632850241,0.6847281490944342,0.0,58.045815076521436
Austria,859,366,184,309,1540,1315,225,1282,111,0.42607683352735737,0.21420256111757857,0.359720605355064,0.2619324796274738,1.7927823050058207,1.530849825378347,1.4924330616996508,0.12922002328288706,0.0,0.6068205825554799,0.6870736539849441,0.6291424537469092,0.5179734857587943,0.0,57.901422962287356
Uganda,685,285,182,218,1030,809,221,1037,72,0.41605839416058393,0.2656934306569343,0.3182481751824818,0.32262773722627736,1.5036496350364963,1.181021897810219,1.513868613138686,0.10510948905109489,0.0,0.587863969101498,0.7059040177253488,0.6420995581227,0.41060621180957657,0.0,57.587393831605596
Qatar,633,260,154,219,895,766,129,934,72,0.4107424960505529,0.24328593996840442,0.3459715639810427,0.2037914691943128,1.4139020537124802,1.2101105845181674,1.4755134281200633,0.11374407582938388,0.0,0.5778053739507579,0.6690357311223732,0.6189150770958182,0.44905712439202816,0.0,55.81373259537351
DR Congo,522,206,143,173,778,625,153,761,57,0.3946360153256705,0.2739463601532567,0.3314176245210728,0.29310344827586204,1.4904214559386972,1.1973180076628354,1.4578544061302683,0.10919540229885058,0.0,0.5473291372807805,0.6967442724321005,0.6082407638295177,0.4288013029173489,0.0,55.80347682908564
Malaysia,835,327,192,316,1363,1211,152,1173,127,0.3916167664670659,0.22994011976047904,0.3784431137724551,0.18203592814371258,1.6323353293413174,1.4502994011976047,1.4047904191616767,0.15209580838323353,0.0,0.541616198225246,0.6622861963554232,0.5761652830702232,0.6198422648600762,0.0,55.455705742470776
Mali,568,232,151,185,746,624,122,847,50,0.4084507042253521,0.2658450704225352,0.3257042253521127,0.2147887323943662,1.3133802816901408,1.0985915492957747,1.4911971830985915,0.0880281690140845,0.0,0.5734689089429033,0.6724475704389601,0.6283954047113257,0.3345409222479012,0.0,54.9975149788477
Honduras,619,247,161,211,909,796,113,902,65,0.3990306946688207,0.26009693053311794,0.3408723747980614,0.1825525040387722,1.4684975767366721,1.2859450726978998,1.45718901453958,0.1050080775444265,0.013620239101887761,0.5556446277990534,0.6624464611337325,0.6078385559219749,0.41015461347859844,0.013620239101887761,54.65157834016483
United Arab Emirates,612,246,152,214,867,760,107,890,66,0.4019607843137255,0.24836601307189543,0.34967320261437906,0.17483660130718953,1.4166666666666667,1.2418300653594772,1.4542483660130718,0.10784313725490197,0.0,0.5611888622601804,0.6600526455249137,0.6060610280613622,0.42277949477200577,0.0,54.58689972541404
Chile,833,315,179,339,1174,1184,-10,1124,85,0.37815126050420167,0.2148859543817527,0.4069627851140456,-0.012004801920768308,1.4093637454981993,1.4213685474189677,1.3493397358943577,0.10204081632653061,0.45733020331574287,0.5161371408436256,0.6020861465966774,0.5426471208318038,0.39694102206673215,0.45733020331574287,54.29123470845073
Thailand,863,339,204,320,1388,1279,109,1221,115,0.3928157589803013,0.23638470451911936,0.3707995365005794,0.12630359212050984,1.608342989571263,1.482039397450753,1.4148319814600232,0.1332560834298957,0.0,0.5438848986460924,0.6449955512385294,0.5822350859006158,0.5359465746714404,0.0,54.212726913847455
Slovakia,365,148,85,132,514,455,59,529,35,0.4054794520547945,0.2328767123287671,0.36164383561643837,0.16164383561643836,1.4082191780821918,1.2465753424657535,1.4493150684931506,0.0958904109589041,0.0,0.5678467878909589,0.6559596638567106,0.6030790076984036,0.36955248510374966,0.0,53.913673308260755
