team,matches_played,wins,draws,losses,goals_scored,goals_conceded,total_goal_differential,points,dominant_wins,win_rate,draw_rate,loss_rate,avg_goal_diff,goals_scored_per_match,goals_conceded_per_match,points_per_match,dominant_win_rate
Sweden,1099,541,232,326,2168,1416,752,1855,187,0.49226569608735216,0.2111010009099181,0.2966333030027298,0.6842584167424932,1.97270245677889,1.2884440400363968,1.6878980891719746,0.17015468607825296
Iraq,652,303,187,162,1003,606,397,1096,88,0.4647239263803681,0.28680981595092025,0.24846625766871167,0.6088957055214724,1.5383435582822085,0.9294478527607362,1.6809815950920246,0.13496932515337423
Senegal,636,298,168,170,880,596,284,1062,62,0.46855345911949686,0.2641509433962264,0.2672955974842767,0.44654088050314467,1.3836477987421383,0.9371069182389937,1.669811320754717,0.09748427672955975
New Caledonia,265,136,34,95,698,369,329,442,68,0.5132075471698113,0.12830188679245283,0.3584905660377358,1.241509433962264,2.6339622641509433,1.3924528301886792,1.6679245283018869,0.25660377358490566
China PR,700,338,153,209,1283,767,516,1167,134,0.4828571428571429,0.21857142857142858,0.2985714285714286,0.7371428571428571,1.832857142857143,1.0957142857142856,1.667142857142857,0.19142857142857142
Algeria,615,286,162,167,948,613,335,1020,82,0.46504065040650405,0.2634146341463415,0.27154471544715447,0.5447154471544715,1.5414634146341464,0.9967479674796748,1.6585365853658536,0.13333333333333333
Ghana,669,311,174,184,1051,697,354,1107,87,0.4648729446935725,0.2600896860986547,0.2750373692077728,0.5291479820627802,1.5710014947683109,1.0418535127055306,1.654708520179372,0.13004484304932734
Saudi Arabia,738,350,169,219,1134,775,359,1219,108,0.4742547425474255,0.22899728997289973,0.2967479674796748,0.48644986449864497,1.5365853658536586,1.0501355013550135,1.651761517615176,0.14634146341463414
Uzbekistan,352,169,73,110,612,390,222,580,68,0.48011363636363635,0.20738636363636365,0.3125,0.6306818181818182,1.7386363636363635,1.1079545454545454,1.6477272727272727,0.19318181818181818
South Africa,477,213,144,120,648,454,194,783,48,0.44654088050314467,0.3018867924528302,0.25157232704402516,0.40670859538784065,1.3584905660377358,0.9517819706498952,1.6415094339622642,0.10062893081761007
